#SampleID,diet_type
K058683-R,Carnivore
K058684-R,Carnivore
K058685-R,Carnivore
K058686-R,Carnivore
K058687-R,Carnivore
K058688-R,Carnivore
K058689-R,Carnivore
K058690-R,Carnivore
K058691-R,Carnivore
K058692-R,Carnivore
K058693-R,Carnivore
K058694-R,Ruminant
K058695-R,Carnivore
K058696-R,Carnivore
K058697-R,Carnivore
K058698-R,Carnivore
K058699-R,Carnivore
K058700-R,Carnivore
K058701-R,Carnivore
K058702-R,Carnivore
K058703-R,Carnivore
K058704-R,Carnivore
K058705-R,Carnivore
K058706-R,Carnivore
K058707-R,Carnivore
K058708-R,Carnivore
K058709-R,Carnivore
K058710-R,Carnivore
K058711-R,Carnivore
K058712-R,Carnivore
K058713-R,Carnivore
K058714-R,Carnivore
K058715-R,Carnivore
K058716-R,Non-Ruminant
K058717-R,Non-Ruminant
K058718-R,Non-Ruminant
K058719-R,Non-Ruminant
K058720-R,Non-Ruminant
K058721-R,Non-Ruminant
K058722-R,Non-Ruminant
K058723-R,Non-Ruminant
K058724-R,Ruminant
K058725-R,Ruminant
K058726-R,Ruminant
K058727-R,Ruminant
K058728-R,Ruminant
K058729-R,Ruminant
K058730-R,Ruminant
K058731-R,Ruminant
K058732-R,Ruminant
K058778-R,Ruminant
K058779-R,Ruminant
K058780-R,Ruminant
K058781-R,Ruminant
K058782-R,Ruminant
K058783-R,Ruminant
K058784-R,Ruminant
K058785-R,Ruminant
K058786-R,Ruminant
K058787-R,Ruminant
K058788-R,Ruminant
K058789-R,Ruminant
K058790-R,Ruminant
K058791-R,Non-Ruminant
K058792-R,Non-Ruminant
K058793-R,Non-Ruminant
K058794-R,Non-Ruminant
K058795-R,Non-Ruminant
K058796-R,Non-Ruminant
K058797-R,Non-Ruminant
K058798-R,Non-Ruminant
K058799-R,Non-Ruminant
K058800-R,Non-Ruminant
K058801-R,Non-Ruminant
K058802-R,Non-Ruminant
K058803-R,Non-Ruminant
K058804-R,Non-Ruminant
K058805-R,Non-Ruminant
K058806-R,Non-Ruminant
K058807-R,Non-Ruminant
K058808-R,Non-Ruminant
K058809-R,Non-Ruminant
K058810-R,Non-Ruminant
K058811-R,Non-Ruminant
K058812-R,Non-Ruminant
K058813-R,Non-Ruminant
K058814-R,Non-Ruminant
K058815-R,Non-Ruminant
K058816-R,Non-Ruminant
K058817-R,Non-Ruminant
K058818-R,Non-Ruminant
K058819-R,Non-Ruminant
K058820-R,Non-Ruminant
K058821-R,Non-Ruminant
K058822-R,Non-Ruminant
K058823-R,Non-Ruminant
K058824-R,Non-Ruminant
