"Rank","Pathway_ID","Description","Other_Carnivores_Mean","Other_Carnivores_SD","Spotted_Hyaena_Mean","Spotted_Hyaena_SD","Fold_Change_Hyaena_vs_Other","Log2_Fold_Change","T_statistic","P_value","Enriched_in"
1,"PWY-6163","chorismate biosynthesis from 3-dehydroquinate",0.007351,0.000825,0.008492,0.000392,1.155,0.208,5.22,1.38e-05,"Spotted Hyaena"
2,"PWY-5973","cis-vaccenate biosynthesis",0.008094,0.000875,0.009221,0.000508,1.139,0.188,4.513,0.000108,"Spotted Hyaena"
3,"PWY-7663","gondoate biosynthesis (anaerobic)",0.008396,0.000973,0.009674,0.000596,1.152,0.204,4.501,0.000118,"Spotted Hyaena"
4,"PWY-6897","thiamin salvage II",0.004761,0.000639,0.005857,0.00066,1.23,0.299,4.365,0.000408,"Spotted Hyaena"
5,"COA-PWY","coenzyme A biosynthesis I",0.007133,0.000766,0.008106,0.000469,1.136,0.184,4.352,0.000175,"Spotted Hyaena"
6,"COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis",0.007734,0.000798,0.008817,0.000572,1.14,0.189,4.313,0.000236,"Spotted Hyaena"
7,"PWY0-1479","tRNA processing",0.001091,0.000795,0.000263,0.000274,0.242,-2.05,4.266,0.000212,"Other Carnivores"
8,"PWY-7219","adenosine ribonucleotides de novo biosynthesis",0.008452,0.000917,0.009584,0.000566,1.134,0.181,4.215,0.000254,"Spotted Hyaena"
9,"PWY-5686","UMP biosynthesis",0.008386,0.000892,0.009564,0.000659,1.14,0.19,4.133,0.000389,"Spotted Hyaena"
10,"ARO-PWY","chorismate biosynthesis I",0.007378,0.00078,0.008412,0.00059,1.14,0.189,4.095,0.000443,"Spotted Hyaena"
11,"DAPLYSINESYN-PWY","L-lysine biosynthesis I",0.005833,0.000673,0.007074,0.000856,1.213,0.278,4.031,0.00116,"Spotted Hyaena"
12,"PWY-5121","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",0.00722,0.000834,0.00824,0.000578,1.141,0.191,3.951,0.00057,"Spotted Hyaena"
13,"PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II",0.008492,0.000767,0.00948,0.000612,1.116,0.159,3.86,0.000852,"Spotted Hyaena"
14,"NONMEVIPP-PWY","methylerythritol phosphate pathway I",0.007404,0.000783,0.008392,0.000608,1.133,0.181,3.837,0.000869,"Spotted Hyaena"
15,"PWY-7560","methylerythritol phosphate pathway II",0.007404,0.000783,0.008392,0.000608,1.133,0.181,3.837,0.000869,"Spotted Hyaena"
