"Diet_type","Family","Mean_SD","Mean","SD"
"Carnivore","Lachnospiraceae","19.33 ± 7.09",19.3260768737779,7.09127065873378
"Carnivore","Fusobacteriaceae","11.98 ± 9.12",11.9782675363651,9.12343398162422
"Carnivore","Clostridiaceae","8.51 ± 9.72",8.50567102193268,9.72109136542452
"Carnivore","Peptostreptococcaceae","8.46 ± 5.84",8.4583738174487,5.8371119503493
"Carnivore","Bacteroidaceae","7.32 ± 5.23",7.31593451211521,5.23166049395637
"Carnivore","Prevotellaceae","6.63 ± 5.67",6.62622020816509,5.67177551947627
"Carnivore","Erysipelotrichaceae","5.25 ± 4.5",5.24797930634134,4.49929124003873
"Carnivore","Clostridia_UCG-014","4.16 ± 9.17",4.16126060437235,9.1702092230911
"Carnivore","Enterobacteriaceae","3.03 ± 7.91",3.02965413903494,7.90734113672389
"Carnivore","Family_XI","2.79 ± 5.01",2.78838934463822,5.01172683218098
"Carnivore","Acidaminococcaceae","1.84 ± 1.9",1.83857848980313,1.90168264932283
"Carnivore","Anaerovoracaceae","1.81 ± 2.31",1.81476862319759,2.30837007239992
"Carnivore","Oscillospiraceae","1.33 ± 2.04",1.3293822653083,2.03569305249034
"Carnivore","Rikenellaceae","1.31 ± 2.48",1.30687107354299,2.48406581050923
"Carnivore","Streptococcaceae","1.12 ± 2.15",1.12465214369368,2.1451541637646
"Carnivore","Succinivibrionaceae","1.09 ± 2.34",1.08641731575288,2.33558519622543
"Non-Ruminant","Lachnospiraceae","19.44 ± 6.85",19.4384357174639,6.84836820760484
"Non-Ruminant","Prevotellaceae","14.71 ± 6.05",14.7096904395874,6.04866261487446
"Non-Ruminant","Rikenellaceae","10.62 ± 6.16",10.6209891381312,6.16062547883576
"Non-Ruminant","Oscillospiraceae","7.11 ± 5.05",7.10900635457564,5.05129046188941
"Non-Ruminant","Spirochaetaceae","5.72 ± 4.48",5.72163050987528,4.47772739465528
"Non-Ruminant","p-251-o5","3.93 ± 4.14",3.93059443991321,4.13553792068997
"Non-Ruminant","Acidaminococcaceae","3.7 ± 2.4",3.70197121800671,2.39878392105613
"Non-Ruminant","F082","2.54 ± 2.22",2.54008506942432,2.21636951462394
"Non-Ruminant","[Eubacterium]_coprostanoligenes_group","2.5 ± 1.6",2.49513273722764,1.59538847122474
"Non-Ruminant","Ruminococcaceae","2.47 ± 1.53",2.46765049015384,1.52526766080257
"Non-Ruminant","Christensenellaceae","2.38 ± 1.75",2.38097351447004,1.74870198336459
"Non-Ruminant","UCG-010","2.1 ± 2.13",2.10198194941054,2.13320008724542
"Non-Ruminant","Anaerovoracaceae","2.02 ± 1.3",2.0223402065827,1.29720934065772
"Non-Ruminant","Bacteroidales_UCG-001","1.53 ± 2.06",1.53059388319439,2.0561213307285
"Non-Ruminant","Pirellulaceae","1.44 ± 2.05",1.44086518689044,2.05449211590253
"Non-Ruminant","Fibrobacteraceae","1.42 ± 2.57",1.42447360126097,2.56815426789932
"Non-Ruminant","Synergistaceae","1.34 ± 1.66",1.34139578906789,1.66348437621058
"Non-Ruminant","Hungateiclostridiaceae","1.3 ± 1.45",1.29695327867913,1.44852508946293
"Non-Ruminant","Clostridia_UCG-014","1.25 ± 4.1",1.25270083661972,4.09513379084967
"Non-Ruminant","WCHB1-41","1.2 ± 1.46",1.20303844991585,1.46375474725674
"Ruminant","Oscillospiraceae","15 ± 5.94",15.0048175631835,5.94231809398939
"Ruminant","Rikenellaceae","11.32 ± 4.37",11.3151261188398,4.37362347805742
"Ruminant","Lachnospiraceae","10.68 ± 7.82",10.6848221728073,7.81790514241678
"Ruminant","UCG-010","8.16 ± 6.81",8.16194102019847,6.80794371478441
"Ruminant","Bacteroidaceae","8.06 ± 3.86",8.06413493324165,3.85989290535669
"Ruminant","Prevotellaceae","7.2 ± 3.68",7.19868012207192,3.67501222274704
"Ruminant","[Eubacterium]_coprostanoligenes_group","5.49 ± 2.5",5.49264211703545,2.49757790421337
"Ruminant","uncultured","4.61 ± 2.63",4.60765840536011,2.62812204182817
"Ruminant","Ruminococcaceae","3.89 ± 1.71",3.89358551425576,1.71482850518465
"Ruminant","Akkermansiaceae","2.18 ± 1.98",2.17731207974144,1.9843844758581
"Ruminant","Acidaminococcaceae","2.14 ± 1.31",2.14443175451768,1.30898815923851
"Ruminant","Spirochaetaceae","1.46 ± 3",1.45918759391354,3.0011349546103
"Ruminant","Christensenellaceae","1.31 ± 1.5",1.30803329058368,1.50218768627109
"Ruminant","Bacteroidales_RF16_group","1.22 ± 1.43",1.22248190905473,1.43344593138874
"Ruminant","Muribaculaceae","1.14 ± 0.96",1.1438352313699,0.957137657550432
"Ruminant","Anaerovoracaceae","1.06 ± 1.53",1.06421278720176,1.52652156675014
"Ruminant","Saccharimonadaceae","1.04 ± 1.56",1.04246739060526,1.56235976816413
"Ruminant","Clostridia_UCG-014","1.04 ± 1.22",1.0382833625306,1.21853389676792
